"","uniquespp","slopefits","varfits","intfits"
"1","HMK011 _ 1","0.145461852747253","1.21202667251588","-1.14316333406594"
"2","HMK011 _ 2","0.153095685714286","1.82485944369666","-1.60061645714286"
"3","HMK016 _ 14","-0.0472296451048952","1.06975794502933","0.649703153846155"
"4","HMK018 _ 15","0.0997549019607844","2.13195929887106","-5.39264705882354"
"5","HMK019 _ 3","0.057921545960849","0.55654863502623","5.38750768187543"
"6","HMK019 _ 4","0.0598350550384441","0.587130507000672","7.96541884087852"
"7","HMK023 _ 10","-0.0486959707010988","0.425995638264639","6.25186080610549"
"8","HMK031 _ 11","0.0948953461538463","0.844782762769153","8.30862853846153"
"9","HMK034 _ 12","-0.00620447149826404","0.261364762536753","5.54764177220587"
"10","HMK036 _ 17","0.0578704807261318","1.45445976831267","3.63979757731958"
"11","HMK038 _ 5","0.111575407179487","4.43895020334506","12.3227141251282"
"12","HMK038 _ 6","0.125067802735043","2.75501707269079","7.1035664608547"
"13","HMK042 _ 18","0.0909853107344633","2.43549758676352","13.1439096045198"
"14","HMK043 _ 13","0.00140343750808603","1.70835238850834","0.00479964228639019"
"15","HMK051 _ 7","0.145461835479121","1.21202672529146","-1.14316305344396"
"16","HMK051 _ 8","0.153731684982418","1.28525571891888","-0.494665751050549"
"17","HMK051 _ 9","0.147980769228572","1.58182211548254","-1.44929487162857"
"18","HMK052 _ 16","-0.0483333333333337","3.14497916666667","6.25333333333334"
