"intid","stanfit"
155,0.231419845283828
165,0.231334101647883
167,0.242045445106087
168,0.243044446105088
169,0.244043447104089
170,0.236704005001759
171,0.237700304395941
175,0.237085995705798
185,0.263076434526876
188,0.266073437523879
191,0.256500309869068
193,0.259999369997107
197,0.282375415780035
198,0.283374416779036
199,0.284373417778037
200,0.285372418777038
207,0.284926088583177
208,0.25730585094588
209,0.258304851944881
236,0.313866735478194
237,0.314860609975876
238,0.305698061182083
